	Unnamed: 0	pair ID	Labels	Argument 1	Argument 2
2031	2031	arg229241_arg231497	o6	Christianity conflicts with historical, archaeological, astronomical, biological, and many other forms of evidence. It denies rational & impartial common sense. Its teachings, written by an all powerful, all knowing, creator of the universe, are filled with contradictions. The arguments for Christianity just don't hold ground (bar one or two, and those are close). Atheism is not perfect, but it is the more logical position of the two.	INTELLIGENT DESIGN THEORY IS MERELY CHRISTIANITY MASQUERADING AS SCIENCE, BUT THERE IS NO REAL SCIENCE BEHIND INTELLIGENT DESIGN.
2033	2033	arg439197_arg488148	o6	I'm sad to see the way this turned out. With not so little respect and so much spamming. I choose atheism over a Christianity because their is not enough evidence to soothe my curiosity. Christianity raises too many questions that it never answers.	Did i also mention that christianity condones slavery? If jot I'm sorry
2034	2034	arg254062_arg229697	o7	The greatest reason to find any given deity unreasonable is that you can replace it with one who has lied to humanity about literally everything it says, and we wouldn't be the wiser. <br/> What makes it even weaker is that you can also replace it with a series of lies of humans or hallucinations. <br/> There is no a single prophecy in the Bible, and certainly none that have come true.	Why do you think we can't stand that question? <br/> ALso you forgot all the other choices. Hinduism, Buddhism, Islam, Shinto, Judaism one and on
2042	2042	arg230146_arg229484	o7	Even if there was a valid proof for the existence of god, there would be no valid proof that that god is Christian or not.	Eh, Atheism is a pretty cool guy. Makes my logic work and doesn't afraid of anything.
2043	2043	arg240625_arg613494	o6	No one has ever waged a war in the name of atheism.	christians are also fun to lawl at because they waste half of their sunday going to church. What a waste!!!! HAHAHA
2046	2046	arg575745_arg230365	o7	No one ever said science is PERFECT. That's the difference between Religion and Science, Science admits it doesn't have all the answers while Religion is SO dogmatic enough to not even recognise FACTS. And even just what TRUTH really stands for.	I'd like to point out how few disputs there are on the Christian side, that's cuz free minded people dont need to convince other's. We know that there isn't a god, and that its up to us to make our lives.
2047	2047	arg237637_arg231491	o5	religious people are always using the same argument: you cant prove he doesn't exist!!!!you CANNOT disprove a negative. meaning, you cant prove something is not there,which already is not there.	god aint flipppin real, so get over it u dumb belivers of god
2049	2049	arg488149_arg231491	o5	I am an atheist because i believe that we all have one life that we should enjoy and preserve for all future generations	religious people are always using the same argument: you cant prove he doesn't exist!!!!you CANNOT disprove a negative. meaning, you cant prove something is not there,which already is not there.
2051	2051	arg237637_arg254062	o6	The greatest reason to find any given deity unreasonable is that you can replace it with one who has lied to humanity about literally everything it says, and we wouldn't be the wiser. <br/> What makes it even weaker is that you can also replace it with a series of lies of humans or hallucinations. <br/> There is no a single prophecy in the Bible, and certainly none that have come true.	god aint flipppin real, so get over it u dumb belivers of god
2060	2060	arg229388_arg237637	o5	I find most religions absolutely ridiculous and illogical, the only people who follow them are those who were brainwashed in childhood and really have no individual thought process. Most of the followers at least. Then there are theists who will twist ANY logic to fit their views. They're intelligent ones that you have to watch out for ;) <br/> I'm not an atheist by any means, but I'd rather call myself an atheist than a Christian. <br/> It allows for more logic in my mind.	god aint flipppin real, so get over it u dumb belivers of god
2061	2061	arg231485_arg488149	o7	ever since recorded history weve believed in sky spirits for which no evidence exists at all.	I am an atheist because i believe that we all have one life that we should enjoy and preserve for all future generations
2062	2062	arg231487_arg240623	o5	this is my big problem with christianity: why is it about belief. there have been horrible people who are believers. what about wonderful people who do great things for the world and are atheists. is it fair to punish them for not knowing what the nature od reality is??? I AM an atheist and im a good person. the idea that a mere belief difference can seal ones fate is beyond preposterous, its madness!!	there is no god. Science has proven it. It was just an excuse made up so people from simplier times didnt have to think to hard on those big questions.
2063	2063	arg253486_arg231494	o5	"This debate presents a false dichotomy in which the only options are christian or atheism. Shouldn't it be ""theism or atheism or other""?"	we have scientific evidence that the flood of noah could not have happened. THINK ABOUT THIS : IF THE FLOOD OF NOAH HAPPENED, WE SHOULD EXPECT TO FIND THE REMAINS OF LONG DEAD ANIMALS AND PEOPLE ALL OVER THE WORLD, BUT WE DO NOT FIND THIS AT ALL. DINOSAUR BONES ARE FOUND IN SEVERAL DIFFERENT LAYERS OF ROCK STRATA, AT DIFFERENT DEPTHS. IF THE FLOOD HAD HAPPENED, WE SHOULD EXPECT TO FIND DINOSAURS AND ALL OTHERE REMAINS IN THE SAME LAYER OF ROCK BUT WE DONT.
2068	2068	arg230146_arg439197	o7	I'm sad to see the way this turned out. With not so little respect and so much spamming. I choose atheism over a Christianity because their is not enough evidence to soothe my curiosity. Christianity raises too many questions that it never answers.	Eh, Atheism is a pretty cool guy. Makes my logic work and doesn't afraid of anything.
2069	2069	arg488146_arg244514	o7	Christianity: belief in rape, genocide, hell fire, unscientific claims, superstition, eternal torture, pedophilia, incest, matricide, infanticide, bestiality, talking donkeys, talking snakes, etc <br/> Atheism: the rejection of these claims based on logic, observation, and common sense	It is ignorant and idiotic to think that god exist. Any other argument is completely invalid.
2071	2071	arg229398_arg253486	o6	Notmymuse, <br/> Give me one logical reason to believe Christianity. Just one. <br/> I have yet to see one gad damn shred of evidence for Christianity. I have also seen mountains of evidence to the contrary. <br/> Once you have discredited ALL evidence against Christianity, create an argument for Christianity with empirical fact (or a damn solid priori argument). <br/> Once you have done this, disprove ALL logical arguments against Christianity. <br/> Once you have done this, disprove all other religions. <br/> - <br/> Until such a time that you have done ALL of these things, it is illogical to believe in this bible bullshit.	"This debate presents a false dichotomy in which the only options are christian or atheism. Shouldn't it be ""theism or atheism or other""?"
2073	2073	arg231620_arg231494	o6	we have scientific evidence that the flood of noah could not have happened. THINK ABOUT THIS : IF THE FLOOD OF NOAH HAPPENED, WE SHOULD EXPECT TO FIND THE REMAINS OF LONG DEAD ANIMALS AND PEOPLE ALL OVER THE WORLD, BUT WE DO NOT FIND THIS AT ALL. DINOSAUR BONES ARE FOUND IN SEVERAL DIFFERENT LAYERS OF ROCK STRATA, AT DIFFERENT DEPTHS. IF THE FLOOD HAD HAPPENED, WE SHOULD EXPECT TO FIND DINOSAURS AND ALL OTHERE REMAINS IN THE SAME LAYER OF ROCK BUT WE DONT.	For reasons that should be totally obvious, and which I would assume have been thoroughly fleshed out by others involved.
2080	2080	arg270902_arg488148	o7	Religion in the past has caused many wars. It encourages racism , sexism and homophobia. It is something that gives us prejudice. It makes us hate one another. the time has come to put a stop to it.	Did i also mention that christianity condones slavery? If jot I'm sorry
2082	2082	arg231485_arg575745	o7	No one ever said science is PERFECT. That's the difference between Religion and Science, Science admits it doesn't have all the answers while Religion is SO dogmatic enough to not even recognise FACTS. And even just what TRUTH really stands for.	ever since recorded history weve believed in sky spirits for which no evidence exists at all.
2084	2084	arg229241_arg488148	o5	Christianity conflicts with historical, archaeological, astronomical, biological, and many other forms of evidence. It denies rational & impartial common sense. Its teachings, written by an all powerful, all knowing, creator of the universe, are filled with contradictions. The arguments for Christianity just don't hold ground (bar one or two, and those are close). Atheism is not perfect, but it is the more logical position of the two.	Did i also mention that christianity condones slavery? If jot I'm sorry
2085	2085	arg270902_arg231497	o7	Religion in the past has caused many wars. It encourages racism , sexism and homophobia. It is something that gives us prejudice. It makes us hate one another. the time has come to put a stop to it.	INTELLIGENT DESIGN THEORY IS MERELY CHRISTIANITY MASQUERADING AS SCIENCE, BUT THERE IS NO REAL SCIENCE BEHIND INTELLIGENT DESIGN.
2086	2086	arg237637_arg328210	o5	I'm Christian and very religious, but if the description of this argument is the qualifying factor, I'm going with Atheism. God isn't Christian.	god aint flipppin real, so get over it u dumb belivers of god
2087	2087	arg231485_arg229398	o7	Notmymuse, <br/> Give me one logical reason to believe Christianity. Just one. <br/> I have yet to see one gad damn shred of evidence for Christianity. I have also seen mountains of evidence to the contrary. <br/> Once you have discredited ALL evidence against Christianity, create an argument for Christianity with empirical fact (or a damn solid priori argument). <br/> Once you have done this, disprove ALL logical arguments against Christianity. <br/> Once you have done this, disprove all other religions. <br/> - <br/> Until such a time that you have done ALL of these things, it is illogical to believe in this bible bullshit.	ever since recorded history weve believed in sky spirits for which no evidence exists at all.
2093	2093	arg229697_arg613494	o6	No one has ever waged a war in the name of atheism.	Why do you think we can't stand that question? <br/> ALso you forgot all the other choices. Hinduism, Buddhism, Islam, Shinto, Judaism one and on
2094	2094	arg328210_arg231491	o6	I'm Christian and very religious, but if the description of this argument is the qualifying factor, I'm going with Atheism. God isn't Christian.	religious people are always using the same argument: you cant prove he doesn't exist!!!!you CANNOT disprove a negative. meaning, you cant prove something is not there,which already is not there.
2095	2095	arg229265_arg231497	o5	Christianity is perhaps the most vile ideal to poison the minds of men. It's uses, motives, and fictional stories are quite plainly immoral. <br/> (http://aynrandlexicon.com/lexicon/religion.html) <br/> (http://www.infidels.org/library/modern/richard_carrier/whynotchristian.html) <br/> (http://www.goodreads.com/author/quotes/ 3956.Christopher_Hitchens)	INTELLIGENT DESIGN THEORY IS MERELY CHRISTIANITY MASQUERADING AS SCIENCE, BUT THERE IS NO REAL SCIENCE BEHIND INTELLIGENT DESIGN.
2096	2096	arg254062_arg229265	o5	The greatest reason to find any given deity unreasonable is that you can replace it with one who has lied to humanity about literally everything it says, and we wouldn't be the wiser. <br/> What makes it even weaker is that you can also replace it with a series of lies of humans or hallucinations. <br/> There is no a single prophecy in the Bible, and certainly none that have come true.	Christianity is perhaps the most vile ideal to poison the minds of men. It's uses, motives, and fictional stories are quite plainly immoral. <br/> (http://aynrandlexicon.com/lexicon/religion.html) <br/> (http://www.infidels.org/library/modern/richard_carrier/whynotchristian.html) <br/> (http://www.goodreads.com/author/quotes/ 3956.Christopher_Hitchens)
2098	2098	arg488149_arg244514	o7	I am an atheist because i believe that we all have one life that we should enjoy and preserve for all future generations	It is ignorant and idiotic to think that god exist. Any other argument is completely invalid.
2099	2099	arg231497_arg230365	o7	INTELLIGENT DESIGN THEORY IS MERELY CHRISTIANITY MASQUERADING AS SCIENCE, BUT THERE IS NO REAL SCIENCE BEHIND INTELLIGENT DESIGN.	I'd like to point out how few disputs there are on the Christian side, that's cuz free minded people dont need to convince other's. We know that there isn't a god, and that its up to us to make our lives.
2100	2100	arg439197_arg230365	o5	I'm sad to see the way this turned out. With not so little respect and so much spamming. I choose atheism over a Christianity because their is not enough evidence to soothe my curiosity. Christianity raises too many questions that it never answers.	I'd like to point out how few disputs there are on the Christian side, that's cuz free minded people dont need to convince other's. We know that there isn't a god, and that its up to us to make our lives.
2101	2101	arg229388_arg488149	o5	I am an atheist because i believe that we all have one life that we should enjoy and preserve for all future generations	I find most religions absolutely ridiculous and illogical, the only people who follow them are those who were brainwashed in childhood and really have no individual thought process. Most of the followers at least. Then there are theists who will twist ANY logic to fit their views. They're intelligent ones that you have to watch out for ;) <br/> I'm not an atheist by any means, but I'd rather call myself an atheist than a Christian. <br/> It allows for more logic in my mind.
2103	2103	arg237637_arg575745	o5	No one ever said science is PERFECT. That's the difference between Religion and Science, Science admits it doesn't have all the answers while Religion is SO dogmatic enough to not even recognise FACTS. And even just what TRUTH really stands for.	god aint flipppin real, so get over it u dumb belivers of god
2104	2104	arg575745_arg250867	o5	No one ever said science is PERFECT. That's the difference between Religion and Science, Science admits it doesn't have all the answers while Religion is SO dogmatic enough to not even recognise FACTS. And even just what TRUTH really stands for.	"If god loves everyone then y does he hate gays and the bible is just a book, have you ever wondered that the one cardinal who translated it changed some things to make ""god"" look good"
2105	2105	arg231497_arg575745	o5	No one ever said science is PERFECT. That's the difference between Religion and Science, Science admits it doesn't have all the answers while Religion is SO dogmatic enough to not even recognise FACTS. And even just what TRUTH really stands for.	INTELLIGENT DESIGN THEORY IS MERELY CHRISTIANITY MASQUERADING AS SCIENCE, BUT THERE IS NO REAL SCIENCE BEHIND INTELLIGENT DESIGN.
2106	2106	arg230365_arg244579	o7	Neither. Agnostic is the true answer. People can believe there is a God or they can believe there isn't- but they can never know. I personally believe there isn't a God but I can never prove this definitely.	I'd like to point out how few disputs there are on the Christian side, that's cuz free minded people dont need to convince other's. We know that there isn't a god, and that its up to us to make our lives.
2111	2111	arg270902_arg237637	o7	Religion in the past has caused many wars. It encourages racism , sexism and homophobia. It is something that gives us prejudice. It makes us hate one another. the time has come to put a stop to it.	god aint flipppin real, so get over it u dumb belivers of god
2113	2113	arg230146_arg240623	o5	there is no god. Science has proven it. It was just an excuse made up so people from simplier times didnt have to think to hard on those big questions.	Eh, Atheism is a pretty cool guy. Makes my logic work and doesn't afraid of anything.
2115	2115	arg270902_arg244514	o7	Religion in the past has caused many wars. It encourages racism , sexism and homophobia. It is something that gives us prejudice. It makes us hate one another. the time has come to put a stop to it.	It is ignorant and idiotic to think that god exist. Any other argument is completely invalid.
2117	2117	arg250846_arg231620	o5	Atheism; I need at least some evidence before I can believe in magic.	For reasons that should be totally obvious, and which I would assume have been thoroughly fleshed out by others involved.
2119	2119	arg240623_arg575745	o5	No one ever said science is PERFECT. That's the difference between Religion and Science, Science admits it doesn't have all the answers while Religion is SO dogmatic enough to not even recognise FACTS. And even just what TRUTH really stands for.	there is no god. Science has proven it. It was just an excuse made up so people from simplier times didnt have to think to hard on those big questions.
2120	2120	arg240625_arg231491	o7	religious people are always using the same argument: you cant prove he doesn't exist!!!!you CANNOT disprove a negative. meaning, you cant prove something is not there,which already is not there.	christians are also fun to lawl at because they waste half of their sunday going to church. What a waste!!!! HAHAHA
2125	2125	arg488148_arg231487	o6	this is my big problem with christianity: why is it about belief. there have been horrible people who are believers. what about wonderful people who do great things for the world and are atheists. is it fair to punish them for not knowing what the nature od reality is??? I AM an atheist and im a good person. the idea that a mere belief difference can seal ones fate is beyond preposterous, its madness!!	Did i also mention that christianity condones slavery? If jot I'm sorry
2126	2126	arg244514_arg244579	o5	Neither. Agnostic is the true answer. People can believe there is a God or they can believe there isn't- but they can never know. I personally believe there isn't a God but I can never prove this definitely.	It is ignorant and idiotic to think that god exist. Any other argument is completely invalid.
2131	2131	arg613494_arg237637	o6	No one has ever waged a war in the name of atheism.	god aint flipppin real, so get over it u dumb belivers of god
2132	2132	arg254062_arg439197	o7	I'm sad to see the way this turned out. With not so little respect and so much spamming. I choose atheism over a Christianity because their is not enough evidence to soothe my curiosity. Christianity raises too many questions that it never answers.	The greatest reason to find any given deity unreasonable is that you can replace it with one who has lied to humanity about literally everything it says, and we wouldn't be the wiser. <br/> What makes it even weaker is that you can also replace it with a series of lies of humans or hallucinations. <br/> There is no a single prophecy in the Bible, and certainly none that have come true.
2134	2134	arg230146_arg229398	o7	Notmymuse, <br/> Give me one logical reason to believe Christianity. Just one. <br/> I have yet to see one gad damn shred of evidence for Christianity. I have also seen mountains of evidence to the contrary. <br/> Once you have discredited ALL evidence against Christianity, create an argument for Christianity with empirical fact (or a damn solid priori argument). <br/> Once you have done this, disprove ALL logical arguments against Christianity. <br/> Once you have done this, disprove all other religions. <br/> - <br/> Until such a time that you have done ALL of these things, it is illogical to believe in this bible bullshit.	Eh, Atheism is a pretty cool guy. Makes my logic work and doesn't afraid of anything.
2135	2135	arg250846_arg229241	o6	Christianity conflicts with historical, archaeological, astronomical, biological, and many other forms of evidence. It denies rational & impartial common sense. Its teachings, written by an all powerful, all knowing, creator of the universe, are filled with contradictions. The arguments for Christianity just don't hold ground (bar one or two, and those are close). Atheism is not perfect, but it is the more logical position of the two.	Atheism; I need at least some evidence before I can believe in magic.
2136	2136	arg240623_arg240625	o5	there is no god. Science has proven it. It was just an excuse made up so people from simplier times didnt have to think to hard on those big questions.	christians are also fun to lawl at because they waste half of their sunday going to church. What a waste!!!! HAHAHA
2137	2137	arg229265_arg488148	o7	Christianity is perhaps the most vile ideal to poison the minds of men. It's uses, motives, and fictional stories are quite plainly immoral. <br/> (http://aynrandlexicon.com/lexicon/religion.html) <br/> (http://www.infidels.org/library/modern/richard_carrier/whynotchristian.html) <br/> (http://www.goodreads.com/author/quotes/ 3956.Christopher_Hitchens)	Did i also mention that christianity condones slavery? If jot I'm sorry
2143	2143	arg229697_arg270902	o7	Religion in the past has caused many wars. It encourages racism , sexism and homophobia. It is something that gives us prejudice. It makes us hate one another. the time has come to put a stop to it.	Why do you think we can't stand that question? <br/> ALso you forgot all the other choices. Hinduism, Buddhism, Islam, Shinto, Judaism one and on
2146	2146	arg237637_arg244579	o5	Neither. Agnostic is the true answer. People can believe there is a God or they can believe there isn't- but they can never know. I personally believe there isn't a God but I can never prove this definitely.	god aint flipppin real, so get over it u dumb belivers of god
2151	2151	arg231487_arg231497	o6	this is my big problem with christianity: why is it about belief. there have been horrible people who are believers. what about wonderful people who do great things for the world and are atheists. is it fair to punish them for not knowing what the nature od reality is??? I AM an atheist and im a good person. the idea that a mere belief difference can seal ones fate is beyond preposterous, its madness!!	INTELLIGENT DESIGN THEORY IS MERELY CHRISTIANITY MASQUERADING AS SCIENCE, BUT THERE IS NO REAL SCIENCE BEHIND INTELLIGENT DESIGN.
2152	2152	arg488148_arg250846	o5	Atheism; I need at least some evidence before I can believe in magic.	Did i also mention that christianity condones slavery? If jot I'm sorry
2153	2153	arg488146_arg237637	o5	Christianity: belief in rape, genocide, hell fire, unscientific claims, superstition, eternal torture, pedophilia, incest, matricide, infanticide, bestiality, talking donkeys, talking snakes, etc <br/> Atheism: the rejection of these claims based on logic, observation, and common sense	god aint flipppin real, so get over it u dumb belivers of god
2154	2154	arg488148_arg244579	o5	Neither. Agnostic is the true answer. People can believe there is a God or they can believe there isn't- but they can never know. I personally believe there isn't a God but I can never prove this definitely.	Did i also mention that christianity condones slavery? If jot I'm sorry
2156	2156	arg240623_arg229388	o5	I find most religions absolutely ridiculous and illogical, the only people who follow them are those who were brainwashed in childhood and really have no individual thought process. Most of the followers at least. Then there are theists who will twist ANY logic to fit their views. They're intelligent ones that you have to watch out for ;) <br/> I'm not an atheist by any means, but I'd rather call myself an atheist than a Christian. <br/> It allows for more logic in my mind.	there is no god. Science has proven it. It was just an excuse made up so people from simplier times didnt have to think to hard on those big questions.
2159	2159	arg244514_arg231487	o5	this is my big problem with christianity: why is it about belief. there have been horrible people who are believers. what about wonderful people who do great things for the world and are atheists. is it fair to punish them for not knowing what the nature od reality is??? I AM an atheist and im a good person. the idea that a mere belief difference can seal ones fate is beyond preposterous, its madness!!	It is ignorant and idiotic to think that god exist. Any other argument is completely invalid.
2160	2160	arg229484_arg231494	o7	Even if there was a valid proof for the existence of god, there would be no valid proof that that god is Christian or not.	we have scientific evidence that the flood of noah could not have happened. THINK ABOUT THIS : IF THE FLOOD OF NOAH HAPPENED, WE SHOULD EXPECT TO FIND THE REMAINS OF LONG DEAD ANIMALS AND PEOPLE ALL OVER THE WORLD, BUT WE DO NOT FIND THIS AT ALL. DINOSAUR BONES ARE FOUND IN SEVERAL DIFFERENT LAYERS OF ROCK STRATA, AT DIFFERENT DEPTHS. IF THE FLOOD HAD HAPPENED, WE SHOULD EXPECT TO FIND DINOSAURS AND ALL OTHERE REMAINS IN THE SAME LAYER OF ROCK BUT WE DONT.
2161	2161	arg439197_arg240623	o7	I'm sad to see the way this turned out. With not so little respect and so much spamming. I choose atheism over a Christianity because their is not enough evidence to soothe my curiosity. Christianity raises too many questions that it never answers.	there is no god. Science has proven it. It was just an excuse made up so people from simplier times didnt have to think to hard on those big questions.
2163	2163	arg229484_arg230365	o5	Even if there was a valid proof for the existence of god, there would be no valid proof that that god is Christian or not.	I'd like to point out how few disputs there are on the Christian side, that's cuz free minded people dont need to convince other's. We know that there isn't a god, and that its up to us to make our lives.
2164	2164	arg613494_arg231485	o7	No one has ever waged a war in the name of atheism.	ever since recorded history weve believed in sky spirits for which no evidence exists at all.
2169	2169	arg237637_arg230146	o5	Eh, Atheism is a pretty cool guy. Makes my logic work and doesn't afraid of anything.	god aint flipppin real, so get over it u dumb belivers of god
2173	2173	arg229697_arg229398	o6	Notmymuse, <br/> Give me one logical reason to believe Christianity. Just one. <br/> I have yet to see one gad damn shred of evidence for Christianity. I have also seen mountains of evidence to the contrary. <br/> Once you have discredited ALL evidence against Christianity, create an argument for Christianity with empirical fact (or a damn solid priori argument). <br/> Once you have done this, disprove ALL logical arguments against Christianity. <br/> Once you have done this, disprove all other religions. <br/> - <br/> Until such a time that you have done ALL of these things, it is illogical to believe in this bible bullshit.	Why do you think we can't stand that question? <br/> ALso you forgot all the other choices. Hinduism, Buddhism, Islam, Shinto, Judaism one and on
2176	2176	arg231620_arg488146	o7	Christianity: belief in rape, genocide, hell fire, unscientific claims, superstition, eternal torture, pedophilia, incest, matricide, infanticide, bestiality, talking donkeys, talking snakes, etc <br/> Atheism: the rejection of these claims based on logic, observation, and common sense	For reasons that should be totally obvious, and which I would assume have been thoroughly fleshed out by others involved.
2178	2178	arg229697_arg244579	o7	Neither. Agnostic is the true answer. People can believe there is a God or they can believe there isn't- but they can never know. I personally believe there isn't a God but I can never prove this definitely.	Why do you think we can't stand that question? <br/> ALso you forgot all the other choices. Hinduism, Buddhism, Islam, Shinto, Judaism one and on
2179	2179	arg254062_arg230365	o5	The greatest reason to find any given deity unreasonable is that you can replace it with one who has lied to humanity about literally everything it says, and we wouldn't be the wiser. <br/> What makes it even weaker is that you can also replace it with a series of lies of humans or hallucinations. <br/> There is no a single prophecy in the Bible, and certainly none that have come true.	I'd like to point out how few disputs there are on the Christian side, that's cuz free minded people dont need to convince other's. We know that there isn't a god, and that its up to us to make our lives.
2180	2180	arg240623_arg250846	o7	Atheism; I need at least some evidence before I can believe in magic.	there is no god. Science has proven it. It was just an excuse made up so people from simplier times didnt have to think to hard on those big questions.
2184	2184	arg229241_arg229388	o5	Christianity conflicts with historical, archaeological, astronomical, biological, and many other forms of evidence. It denies rational & impartial common sense. Its teachings, written by an all powerful, all knowing, creator of the universe, are filled with contradictions. The arguments for Christianity just don't hold ground (bar one or two, and those are close). Atheism is not perfect, but it is the more logical position of the two.	I find most religions absolutely ridiculous and illogical, the only people who follow them are those who were brainwashed in childhood and really have no individual thought process. Most of the followers at least. Then there are theists who will twist ANY logic to fit their views. They're intelligent ones that you have to watch out for ;) <br/> I'm not an atheist by any means, but I'd rather call myself an atheist than a Christian. <br/> It allows for more logic in my mind.
2187	2187	arg231491_arg244579	o6	Neither. Agnostic is the true answer. People can believe there is a God or they can believe there isn't- but they can never know. I personally believe there isn't a God but I can never prove this definitely.	religious people are always using the same argument: you cant prove he doesn't exist!!!!you CANNOT disprove a negative. meaning, you cant prove something is not there,which already is not there.
2189	2189	arg229241_arg231491	o5	Christianity conflicts with historical, archaeological, astronomical, biological, and many other forms of evidence. It denies rational & impartial common sense. Its teachings, written by an all powerful, all knowing, creator of the universe, are filled with contradictions. The arguments for Christianity just don't hold ground (bar one or two, and those are close). Atheism is not perfect, but it is the more logical position of the two.	religious people are always using the same argument: you cant prove he doesn't exist!!!!you CANNOT disprove a negative. meaning, you cant prove something is not there,which already is not there.
2190	2190	arg229265_arg240625	o5	Christianity is perhaps the most vile ideal to poison the minds of men. It's uses, motives, and fictional stories are quite plainly immoral. <br/> (http://aynrandlexicon.com/lexicon/religion.html) <br/> (http://www.infidels.org/library/modern/richard_carrier/whynotchristian.html) <br/> (http://www.goodreads.com/author/quotes/ 3956.Christopher_Hitchens)	christians are also fun to lawl at because they waste half of their sunday going to church. What a waste!!!! HAHAHA
2195	2195	arg244514_arg229697	o5	Why do you think we can't stand that question? <br/> ALso you forgot all the other choices. Hinduism, Buddhism, Islam, Shinto, Judaism one and on	It is ignorant and idiotic to think that god exist. Any other argument is completely invalid.
2197	2197	arg488148_arg231497	o7	INTELLIGENT DESIGN THEORY IS MERELY CHRISTIANITY MASQUERADING AS SCIENCE, BUT THERE IS NO REAL SCIENCE BEHIND INTELLIGENT DESIGN.	Did i also mention that christianity condones slavery? If jot I'm sorry
2199	2199	arg230146_arg575745	o7	No one ever said science is PERFECT. That's the difference between Religion and Science, Science admits it doesn't have all the answers while Religion is SO dogmatic enough to not even recognise FACTS. And even just what TRUTH really stands for.	Eh, Atheism is a pretty cool guy. Makes my logic work and doesn't afraid of anything.
2201	2201	arg244579_arg488149	o6	Neither. Agnostic is the true answer. People can believe there is a God or they can believe there isn't- but they can never know. I personally believe there isn't a God but I can never prove this definitely.	I am an atheist because i believe that we all have one life that we should enjoy and preserve for all future generations
2202	2202	arg246334_arg270902	o6	Religion in the past has caused many wars. It encourages racism , sexism and homophobia. It is something that gives us prejudice. It makes us hate one another. the time has come to put a stop to it.	As humans, we cannot know exactly if there is a higher force or not. Christianity however is not it. Firstly because it is not one belief that every Christian shares, it lacks solidarity. I compare it to a road with all different kinds of sideways. Ask a question about religion, and lots of people will find one of those sideways to adjust their religion to their personal beliefs. <br/> With Atheïsm, the concept is pretty clear. It is more scientific, and I like that.
2206	2206	arg229697_arg439197	o6	I'm sad to see the way this turned out. With not so little respect and so much spamming. I choose atheism over a Christianity because their is not enough evidence to soothe my curiosity. Christianity raises too many questions that it never answers.	Why do you think we can't stand that question? <br/> ALso you forgot all the other choices. Hinduism, Buddhism, Islam, Shinto, Judaism one and on
2207	2207	arg488146_arg254062	o6	The greatest reason to find any given deity unreasonable is that you can replace it with one who has lied to humanity about literally everything it says, and we wouldn't be the wiser. <br/> What makes it even weaker is that you can also replace it with a series of lies of humans or hallucinations. <br/> There is no a single prophecy in the Bible, and certainly none that have come true.	Christianity: belief in rape, genocide, hell fire, unscientific claims, superstition, eternal torture, pedophilia, incest, matricide, infanticide, bestiality, talking donkeys, talking snakes, etc <br/> Atheism: the rejection of these claims based on logic, observation, and common sense
2210	2210	arg240623_arg229697	o7	there is no god. Science has proven it. It was just an excuse made up so people from simplier times didnt have to think to hard on those big questions.	Why do you think we can't stand that question? <br/> ALso you forgot all the other choices. Hinduism, Buddhism, Islam, Shinto, Judaism one and on
2215	2215	arg231491_arg240623	o6	religious people are always using the same argument: you cant prove he doesn't exist!!!!you CANNOT disprove a negative. meaning, you cant prove something is not there,which already is not there.	there is no god. Science has proven it. It was just an excuse made up so people from simplier times didnt have to think to hard on those big questions.
2216	2216	arg244514_arg229484	o5	Even if there was a valid proof for the existence of god, there would be no valid proof that that god is Christian or not.	It is ignorant and idiotic to think that god exist. Any other argument is completely invalid.
2217	2217	arg229388_arg613494	o7	No one has ever waged a war in the name of atheism.	I find most religions absolutely ridiculous and illogical, the only people who follow them are those who were brainwashed in childhood and really have no individual thought process. Most of the followers at least. Then there are theists who will twist ANY logic to fit their views. They're intelligent ones that you have to watch out for ;) <br/> I'm not an atheist by any means, but I'd rather call myself an atheist than a Christian. <br/> It allows for more logic in my mind.
2218	2218	arg488146_arg250846	o5	Christianity: belief in rape, genocide, hell fire, unscientific claims, superstition, eternal torture, pedophilia, incest, matricide, infanticide, bestiality, talking donkeys, talking snakes, etc <br/> Atheism: the rejection of these claims based on logic, observation, and common sense	Atheism; I need at least some evidence before I can believe in magic.
2223	2223	arg229697_arg231494	o7	we have scientific evidence that the flood of noah could not have happened. THINK ABOUT THIS : IF THE FLOOD OF NOAH HAPPENED, WE SHOULD EXPECT TO FIND THE REMAINS OF LONG DEAD ANIMALS AND PEOPLE ALL OVER THE WORLD, BUT WE DO NOT FIND THIS AT ALL. DINOSAUR BONES ARE FOUND IN SEVERAL DIFFERENT LAYERS OF ROCK STRATA, AT DIFFERENT DEPTHS. IF THE FLOOD HAD HAPPENED, WE SHOULD EXPECT TO FIND DINOSAURS AND ALL OTHERE REMAINS IN THE SAME LAYER OF ROCK BUT WE DONT.	Why do you think we can't stand that question? <br/> ALso you forgot all the other choices. Hinduism, Buddhism, Islam, Shinto, Judaism one and on
2230	2230	arg231485_arg237637	o5	ever since recorded history weve believed in sky spirits for which no evidence exists at all.	god aint flipppin real, so get over it u dumb belivers of god
